county,site_number,date_visited,applicant,damage_location,damage_description,local_estimate,fema_validated,change_notes,unvalidated,,,,,
HAMILTON,32,11/21/2019,Village of Speculator,"Sewage Treatment Plant
43.4972 , -74.3549",Lake level rising caused water to reverse flow. Check valves destroyed and generator damaged due to electrical surges. Pump Station #1 submerged. Pump Station# 2 submerged by 3 to 5 ft of water resulting in damage (bouyancy of Concrete structure) and electrical lines submerged. Engineers report being prepared.,"$340,000",,,,,,,,
HAMILTON,33,11/21/2019,Town of Lake Pleasant,"Page St.
43.5047 , -74.3843 to
43.5096 , -74.3806","paved road. Ditches overflowed. Culverts plugged and overtoped; 5 cleaned out, 2 - 24"" culverts replaced. Lost approx. 1500 feet of road at least 1 lane wide for a depth of 2 to 3 feet. Town if rsonsible to back of ditch, thus had to replace multipal driveway culvertsand entrances.","$200,000",,,,,,,,
HAMILTON,34,11/21/2019,Town of Lake Pleasant,"Hamilton lake Raod
43.507974 , -74.3711 start
","Dirt road. Ditches were overtopped and approx 1000 ft of road ( intermittent damaged sections) washed out up to 5 feeet deep. Some fill permanent and other temporary.
Paved sections similar damage, another 1000 ft damaged.","$125,000",,,,,,,,
HAMILTON,35,11/21/2019,Town of Lake Pleasant,Fish Mountain Road,"Old laid up stone culvert, 5 ft wide, extended with metal pipe. High flows from flooding separated pipes and one paveda lane damaged for approx. 50 ft. Shoulders eroded for 250 ft. Hydrant adjacant to cluvert need to be checked for damage.  ","$250,000",,,,,,,,
HAMILTON,36,11/21/2019,Town of Lake Pleasant,Longview Dr,"Ditches overtopped and culverts plugged. Culverts cleaned
Info from applicant ","$3,250",,,,,,,,
HAMILTON,37,11/21/2019,Town of Lake Pleasant,Tamack Rd,"Culvert topped and paved road wahed out 
Info from applicant ","$13,000",,,,,,,,
HAMILTON,38,11/21/2019,Town of Lake Pleasant,Fawn lake Road,"Culvert pluggd and pavement damaged 
Info from applicant ","$5,000",,,,,,,,
HAMILTON,39,11/21/2019,Town of Lake Pleasant,Oxbow RD. ,"Pavement washed out 
Info from applicant ","$1,250",,,,,,,,
HAMILTON,40,11/21/2019,Town of Lake Pleasant,Jims Hill Raod,"Culvert plugged and paement damaged
Info from applicant ","$2,000",,,,,,,,
HAMILTON,41,11/21/2019,Town of Lake Pleasant,Old Indian Rd,"Culvert plugged and damged road
Info from applicant ","$2,000",,,,,,,,
HAMILTON,42,11/21/2019,Town of Lake Pleasant,Old page Hill  ,"culverts plugged and washed out pavement.
Info from applicant ","$20,000",,,,,,,,
HAMILTON,43,11/21/2019,Town of Lake Pleasant,Gilmantown Rd,"Culverts povertopped and damged road
Info from applicant ","$30,000",,,,,,,,
HAMILTON,44,11/21/2019,Town of Lake Pleasant,Perkins Clearing ," Culverts washed out and raod damged.
Info from applicant ","$29,000",,,,,,,,
HAMILTON,45,11/21/2019,Town of Lake Pleasant,Kinler,"pavement washouts 
Info from applicant ","$2,000",,,,,,,,
HAMILTON,46,11/21/2019,Town of Arietta ,"Wild Rd
43-25.700 , -74-30.738","6 ft culvert collects drainage from many lakes. Ovetopped Road and damaged shoulder , approx 100 ft long. Condition of pavement in questionable condition","$100,000",,,,,,,,
HAMILTON,47,11/21/2019,Town of Arietta ,Haskells Road,"Road of either side of County bridge were washed out by flood water of West Canada Creek. 150 ft of dirt  road eroded up to 6 ft deep. Gravel parking area 150 by 150 ft wide Eroded. Other side of bridge wiath pavement only had shoulder erosion for approx 100ft
Information based on review of applicants photos. Access to major damge not available due to construction activities.","$50,000",,,,,,,,
HAMILTON,48,11/21/2019,Town of Arietta ,South Shore Road,"Ditches overflowed and eoded shoulde and widened area about  100 by 6 ft about 1 ft deep
Information based on review of applicants photos. Access to major damge not available due to construction activities.","$5,000",,,,,,,,
HAMILTON,49,11/21/2019,Town of Arietta ,Wayne Smith Road,"Culvert overtopped. Road and Culvert OK, shoulder and ditches washed out for 400 ft. 
Information based on review of applicants photos. Access to major damge not available due to construction activities.","$6,000",,,,,,,,
HAMILTON,50,11/21/2019,Town of Arietta ,Powley Road,"Approx 8 miles of seasonal dirt road and winter snowmobile trail.  Major erosion , embankment washouts and culverts overtopped damaging road. Currently under repair. Previously funded by FEMA in last disaster. 
Information based on review of applicants photos. Access to major damge not available due to construction activities.","$750,000",,,,,,,,
HAMILTON,,11/18/2019,Hamilton County,Elbow Creeek Bridge,Volume and velocity of floodwaters in Elbow Creek severely scoured the inlet and discharge areas armoring. Applicant to Provide Bridge Inspection Reports. (Costs Provided by NYSDHSES) ,,"$30,000",,,,,,,
HAMILTON,,,,,"Applicant owns and maintains approx 360 centerline miles of road in Hamilton County. The Highway Superintendent in Conjunction with NYSDHSES personnel has identified 14 roads w/damages to culverts, ditches, asphalt, road shoulders and integral road support. Costs range from a low of $5000.00 to a high of$500,000.00. Some roads are a complete loss of sub base (+/- 2 feet) and asphalt for significant distances. Did not visit sites, numbers provided by NYSDHSES.",,"$1,895,000",,,,,,,
 HERKIMER,1,11/6/2019,Dolgeville,"North Main Street
43.109169, -74.76914 to
43.105542, -74.770151","*300 LF berm along East Kanada Creek erroded and washed out.
* Flood water from Kanada Creek flooding homes and North Main Street
* 1200 to1400 LF of North Main Street 
* 1200 LF curbs and side walks
Note: Village has not inspected storm lines and other below ground facility","$450,000","$200,000",,,,,,,
 HERKIMER,2,11/6/2019,Herkimer County,"Dairy Hill Road
43.152924, -74.845862",".5 mile (Tucker to Military Rd) 20' width, pavement collapse on alternatine sides along both shoulders of roadway.  Little Falls water supply lines travel under road shoulders.
Street addresses near damage: 137, 155, 167, & 185 Dairy Hill Rd. Also damage near the northern end of Mang Road.","$614,420","$614,420",,,,,,,
 HERKIMER,3,11/6/2019,Herkimer County,"Gray Wilmurt Road Bridge
43.263751, -74.946573","Concrete bridge structure - 20 ft width, 40 ft length & wingwalls","$789,910","$789,910",,,,,,,
 HERKIMER,4,11/12/19,Herkimer County DPW,"Hopson Road Bridge County Route 164
43.123107, -74.774878","The Herkimer County DPW detailed estimate, is attached to the SitRep.  It can also be found with the Hopson Road photo file in the P-Drive.","$601,690.00 ","$601,690",,,,,,,
 HERKIMER,5,11/6/2019,Town of Fairfield,"Farrington Road
43.164792  -74.981422","* Stone and mortar bridge (100 + years), damaged and flagged by NY DOT as damged beyond repair
* Associated road repair 100 LF X 30 LF W","$380,000","$380,000",,,,,,,
 HERKIMER,6,11/7/2019,Town of Frankfort,"Pump Station
5S Business Park
43.02978, -75.08019",26' water pump station slid into creek rendering it non-operational.  Water service to downstream business park inadequate due to lack of pressure.,"$760,100","$730,000",,,,,,,
 HERKIMER,7,11/8/2019,Town of Frankfort,"Wilson Road Culvert
43.053571, -75.197001",Existing 7' X 6' X 110' concrete box culvert (1928). Downstream end completely displaced.  Intergral earth and backfill around downstream end eroded away leaving sinkhole to nearly half of roadway. Guiderail hanging with no support. Awaiting engineer and contractor estimate.,"$237,700","$237,700",,,,,,,
 HERKIMER,8,11/8/2019,Town of Frankfort (+ Village),Various,"Meeting with Town and Village of Frankfort personnel and engineers. Then site visits to 11/7/19 above sites.  See above  Barton and Loquidici will do PDC estimate for ""park bridge"" by 11/12.  B&L engineers investigating Cat B temporary pump rental at site to pump water for immediate needs.  Will do estimate of ""permanent"" repair.",pending,,,,,,,,
 HERKIMER,9,11/8/2019,Town of Herkimer,"Osborne Hill Road
43.0992, -74.9892  to 
43.1023, -74.0030","* Site 1: Approx. 1 mile of ditch line and shoulder along north side of road scoured and eroded with approximately 50% of mid sized ditch stone washout.
* Site 2: at base of Osborne Hill, two cross road culvert pipes (60 LF X 36 Inch corrugated metal) washed out including two concrete headwalls with associated road damage (80 FT X 28 FT X 4 In)
* Site 3:  Cross road drainage pipe (40 FT X 18 Inch Circular Metal Corrugated) washed out with associated road damage (10 LF X 18 FT  W X 4 FT D) 
-  Sites 1, 2 and 3 Estimate of probable cost (range $130,000.00 to $165,000.00) pending applicant confirmation
* Site 4: Culvert pipe (100 FT X 5 Ft Diameter, HDPE Pipe), blocked inlet, over top with washout at the outlet side intergal ground embankment.  Outlet section of pipe detached, repairable, Embankment washout (80 FT X 30 FT W X 25 FT D).  At outlet heavy stone washout (30 FT X 10 FT X 5 FT D).
- Site 4 Estimate of probable cost estimate (range $25,000.00 to $35,000.00) pending applicant confirmation.
Total All Sites Estimate of probable cost ($155,000.00 to $200,000.00)","$155,000",,,,,,,,
 HERKIMER,10,11/8/2019,Town of Manhiem,"Saltzman Road 
43.014381, -74.741358 to 43.007475, -74.741775","* Approximately 3/4 mile (Oil/Stone) road along East Kanada Creek washed out, (3/4 mile X 18 FT W X 3 FT D Avg variable depth).  Site damage history, 2006 declaration $250,000 plus mitigation. Heavy stone lining mitigation from 2006 largely unaffected with areas of stone disturbance.
Estimate of probable cost $250,000.00, pending applicant confirmation of estimate.","$250,000","$460,000",Lamont Eng. Estimte $460K,,,,,,
 HERKIMER,11,11/7/2019,Town of Newport,Woodchuck Hill Road,"* Protective heavy stone at the outlet of Woodchuck Hill road bridge dislodged and displaced. Total area 40 LF X 4 FT D X 8 Ft H. Half of total heavy stone washed out, remaining stone dislodged and displaced.
* Bridge concrete abutment scoured at and below bridge abutment footing.","$10,000",,,,,,,,
 HERKIMER,12,11/10/2019,Town of Newport,Newport Road,"Rebuild embankmet 160' X 25'
Stabilize stream bank slope with heavy stone (160' X 23')
This information was provided by NYR call.  Backup documentation sufficient so no site visit was required.","$135,000",,,,,,,,
 HERKIMER,13,11/6/2019,Town of Norway,"Military Road
Start 43.203726, -74.941831
End  43.201115 -74.935877","* Culvert pipe washout
* 40 LF X 6 LF   Steel, circular metal pipe (replace)
* second location 40 LF X 5 LF D, recovered, reset
* Total associated road area 700 LF X 24 Ft ","$120,000","$120,000",,,,,,,
 HERKIMER,14,11/6/2019,Town of Norway,"Sulpher Springs Road
43.227723, -74.968301","* Culvert pipe washout (40 LF X 6 LF) metal, corrugated
* Associated road damage (50 LF X 28 LF)
* Heavy stone at inlet and outlet (20 Ft X 8 Ft H X 4 FT D)","$28,000","$28,000",,,,,,,
 HERKIMER,15,11/12/19,Town of Norway,"Snyder Road
43.209467, -74.888580","High Velocity flood waters washed out 36"" X 40FT metal pipe, along with the head and tail walls. This caused a 600FT section of ditches to be washed out along the road sides.","$35,000 ","$35,000",,,,,,,
 HERKIMER,16,11/12/19,Town of Norway,"Military Road East
43.201089, -74.93580","High velocity flood waters washed out an 800 FT section of road shoulders, along with a 
500FT section of road surface.  A 30FT Long X 15FT Wide X 10FT Deep section of the road was also washed out, along with a 5FT X 40FT culvert. ","$180,000 ","$180,000",,,,,,,
 HERKIMER,17,11/12/19,Town of Norway,"Durand Road
43.223028, -74.926290
43.222980, -74.926821 ","High velocity flood waters washed out a 24"" X 40FT Culvert, that caused an 800 FT section of road shoulders to be washed out, along with the blacktop.","$14,000 ","$14,000",,,,,,,
 HERKIMER,18,11/12/19,Town of Norway,"Lynch Road
43.222333, -74.963593
43.221101, -74.979465","High velocity flood waters washed out aproximately 1.5 miles of road surface, along with the road shoulders, embankments and ditches.","$71,280 ","$71,280",,,,,,,
 HERKIMER,19,11/12/19,Town of Norway,"Military Road West
43.220926, -74.983931
43.228952, -75.000260","High velocity flood waters washed out approximately 2.5 miles of road surface, along with 18"" X 30FT Pipe.  Including it's head and tail walls and a 24"" x 30FT heavy steel pipe.","$135,000 ","$135,000",,,,,,,
 HERKIMER,20,11/7/2019,Town of Ohio,Uncle Miere Road,* 300 LF X 20 FT W X 5 Ft D road surface and embankment washout over five extisting cross road culvert pipes.   ,"$18,000","$18,000",,,,,,,
 HERKIMER,21,11/7/2019,Town of Ohio,"Atwood Lake Road
43.366180, -74.892565","* Three (120 LF X 10 FT H X 14 FT W, approx) squash pipes, metal washed out
* Associated road damage (400 LF X 28 FT W X 2 FT)
* Guide rails washed out, total 800 LF","$250,000","$460,000",Temporary Bridge Added,,,,,,
 HERKIMER,22,11/8/2019,Town of Salsbury,"Cemetary Road
43.1830, -74.6984","* Cemetary road intergal ground embankment failure.  Embankment toe scouring caused three embankment failures.   Primary embankment area washout (100 LF X 10 FT W X 80 FT Deep), second area 100 LF X 8 FT W X 15 FT Deep, third area 75 LF X 8 FT W X 15 FT Deep.  
Projection of probable cost estimate $20,000.00 - $40,000.00","$20,000","$20,000",,,,,,,
 HERKIMER,23,11/8/2019,Town of Salsbury,"Bingham Hill Road
43.196944, -74.716346","* Bridge structure (Bin 2204830) destroyed.   Severe scouring of abutments base caused bridge to drop and separate from intergal ground including abutment and abutment concrete wing walls. DOT inspected and tagged as destroyed.    Bridge span approx. (30 LF X 25 FT W) Guiderails (60 FT).
* Associated road damage (1,100 FT X 10 FT W X 6 Inch) scour and washout.
Projection of probable cost estimate $750,000 - $1.2M.","$750,000","$960,000",,,,,,,
 HERKIMER,24,11/8/2019,Town of Salsbury,"Jersey Field Road
43.304298, -74.771135","* Culvert pipe (40 FT X 4 FT Diameter, corrugated metal) washed out.  Associated road damage (60 LF X 28 FT W X 4 FT D Avg. Variable) Projection of probable cost estimate $8,500.00 ","$8,500","$8,500",,,,,,,
 HERKIMER,25,11/12/2019,Town of Schyler,"Bull Road
43.109737, -75.111812","* Culvert washout with inlet and outlet embankment scouring and erosion.
* Associated road damage, asphalt 75 LF X 25 X 3 ""
* Culvert 60 FT X 8 FT corrugated circular metal
Note: contract in progress","$110,000","$110,000",,,,,,,
 HERKIMER,26,11/7/2019,Village of Frankfort,"Electric Power Pole
5S Business Park
43.03967, -75.07451",Electric power pole destabilized due to surrounding ground collapse. Loss of pole would cause loss of power to the Village. Legal Reponsibility is uncertain at this time.,pending,"$3,000",,,,,,,
 HERKIMER,27,11/7/2019,Village of Frankfort,"Hilltop Bridge
43.03660, -75.07482","Frankford Village Park: East side of bridge infrastructure collapse resulted in closeure of bridge.  East side embankment wall collapsed in to the creek bed causing structural loss. Repair in kind cost $820k, estimate is for replacement with new structure meeting current codes and standards.","$1,004,000","$820,000",,,,,,,
 HERKIMER,28,11/7/2019,Village of Frankfort,"Embankment
43.03414, -75.07829",Embankment collapse with diversion veins carried downstream. Moyer Creek outflow eroding embankment. Parts of this facility may have pre-existing damage or be the responsibility of other parties.,pending,,,,,,,,
 HERKIMER,29,11/12/2019,Village of Herkimer,"Reservoir Road
43.03330, -75.001271 to 43.030374, -74.998787","* Approx. 1,000 LF of road side ditch line scoured and eroaded with areas of washout.
   Area:  1000 LF X 6 FT W X 2 FT Avg. Variable Depth
* Medium stone washout 
   Area:  1,000 LF X 6 FT W X 1 FT D
Projection of probable cost @ $25/LF.","$25,000 ","$25,000",,,,,,,
 HERKIMER,30,11/6/2019,Village of Middleville,"Kanata Street
43.135931, -74.970241","* Water main break
* Potable water line below bridge destroyed 
* Parking lot (60 LF X 30 LF) asphalt pavement, excavate to sub-base
* Village Firehouse flooding  (insured)","$110,000","$110,000",,,,,,,
 HERKIMER,31,11/6/2019,Village of Newport,"Hillside and School Streets
43.186080  -75.013674","* Road shoulders and road side drainage
* Total shoulder and ditchline approx. 1/2 miles","$7,500","$7,500",,,,,,,
 HERKIMER,32,11/7/2019,Village of Ohio,"Teacup Street Site 1
43.266639, -74.933024","* 300 LF of road side shoulder and drainage ditch scouring and washout. Area 300 LF X 2 FT W X 4 FT D (average variable)
* Cross road drainage pipe (work completed)  40 LF X 18 Inch Poly Pipe","$12,000","$12,000",,,,,,,
 HERKIMER,33,11/7/2019,Village of Ohio,"Teacup Street Site 2
43.272937, -74.928865
","* Bridge (30 LF X 18 FT W) steel/concrete bridge, water scouring and washout of embankment and road surfaces at bridge approach.   
* Bridge embankment at inlet and outlet scoured and washed out. Total area (24 FT X 8 Ft H X 3 FT D)
* Associated road damage, (300 LF X 3 FT W by 3 FT D) road side shoulder and drainage ditch scouring","$10,000","$10,000",,,,,,,
 HERKIMER,34,11/7/2019,Village of Ohio,"California Road
43.263825, -74.889273","* Cross road drainage pipe (60 LF X 5 Ft) Circular corregated metal
* Associated road damage (20 LF X 25 FT W X 6 Inch D)","$6,500",,,,,,,,
 HERKIMER,35,11/14/2019,Herkimer County Highway,Bush Road.  CR 180,Retaining Wall,"$263,045","$263,045",,,,,,,
 HERKIMER,36,11/14/2019,Herkimer County Highway,Newport Road CR 34,Retaining Wall,"$209,540","$209,540",,,,,,,
 HERKIMER,37,11/14/2019,Herkimer County Highway,White Creek Road CR 60,Retaining Wall,"$1,171,600","$1,171,600",,,,,,,
JEFFERSON,1,11/14/2019,Jefferson County Highway,County wide road signs,Approximately 200 road signs were blown down/damaged on various roads throughout the County.,"$13,000","$13,000",,,,,,,
JEFFERSON,2,11/14/2019,Jefferson County Highway,County wide roads,County wide Debris Removal on County roads.,"$60,000","$60,000",,,,,,,
JEFFERSON,3,11/12/2019,Town of Cape Vincent,"Dablon Point Rd (Site 1)
44.084166, -76.347222 to 44.083888,  -76.348055
Dablon Point Rd (Site 2)
44.0822, -76.366666 to 44.078333, -76.371944","Damaged road surface, subbase, blacktop and shoreline base rock erosion. ","$125,000.00","$100,000",,,,,,,
JEFFERSON,4,11/12/2019,Town of Cape Vincent,"Wilson Point Rd
44.092777, -76.349722 to 44.087777, -76.343888 ","Damaged road surface, subbase, blacktop and shoreline base rock erosion
Dollar amount is included in Dabion Point Road",,"$25,000",,,,,,,
JEFFERSON,5,11/13/2019,Town of Lyme,ALL Town of Lyme sites,"One estimate for all damage sites in this town, details of each location are listed below","$45,658.96",,,,,,,,
JEFFERSON,6,11/13/2019,Town of Lyme,"Beach Rd 
44.00733, -76.27799 to 44.00508, -76.2754","
Heavy wave action onLake Ontario overwashed roadway, deposited debris, washed out culvert and blacktop roadway.",see Town total,"$10,000",,,,,,,
JEFFERSON,7,11/13/2019,Town of Lyme,"South Shore Rd 
44.00456, -76.22032 to 44.00698, -76.21703","Heavy wave action on Lake Ontario overwashed roadway, deposited debris causing several culverts to be obstructed.",see Town total,"$10,000",,,,,,,
JEFFERSON,8,11/13/2019,Town of Lyme,"South Shore Rd
43.97264, -76.24601 to 43.9675, -76.2587",Heavy wave action on Lake Ontario caused damage to culverts,see Town total,"$6,000",,,,,,,
JEFFERSON,9,11/13/2019,Town of Lyme,"South Shore Rd
#1 43.96227, -76.2709,       
#2 43.961.65, -76.27226, 
#3 43.96154, -76.27335","Heavy wave action on Lake Ontario overwashed roadway, deposited debris and damaged several culverts",see Town total,"$10,000",,,,,,,
JEFFERSON,10,11/13/2019,Town of Lyme,"South Shore Rd
43.97427, -76.24263 to 43.98895, -76.22752",Heavy wave action on Lake Ontario deposited debris and damaged roadway,see Town total,"$10,000",,,,,,,
JEFFERSON,11,11/14/2019,Village of Cape Vincent,ALL Village of Cape Vincent sites,"One estimate for all damage sites in this village, details of each location are listed below","$1,000,000",,,,,,,,
JEFFERSON,12,11/14/2019,Village of Cape Vincent,"East End Park 
44.132632, -76.323725","Heavy wave action on the St. Lawrence River caused widespread damage to the Park, including steel sheet pile, granite block seawall, concrete sidewalk, underdrain system, and wooden dock system. There is shoreline erosion and debris deposits.",see Village total,"$91,000",,,,,,,
JEFFERSON,13,11/14/2019,Village of Cape Vincent,"Esselstyne Dock 
44.129847, -76.333836",Heavy wave action on the St. Lawrence River caused damage to the Esselstyne Dock System. ,see Village total,"$50,000",,,,,,,
JEFFERSON,14,11/14/2019,Village of Cape Vincent,"North Point Street 
44.130123, -76.337455","Heavy wave action on the St. Lawrence River caused erosion to shoreine, movement of armoring, and damage to the seawall.",see Village total,"$5,500",,,,,,,
JEFFERSON,15,11/14/2019,Village of Cape Vincent,"Real Street Park 
44.128123, -76.339792","Heavy wave action on the St. Lawrence River caused displacement of large stone block seawall, deposits of stone debris in park area, and erosion beind seawall.",see Village total,"$20,000",,,,,,,
JEFFERSON,16,11/12/2019,Village of Clayton,"44.242752, -76.088455 ","Heavy wave action collapsed a 60 FT section of sheet pile, sidewalk, and gravel subbase.
Dollar amount is included in in location (44.242868, -76.088148)",,,,,,,,,
JEFFERSON,17,11/12/2019,Village of Clayton,"44.242868, -76.088148",Heavy wave action has caused failure to 135 FT section of sheet pile and a 75 FT x 20 FT driveway.,"$500,000.00","$178,200",,,,,,,
JEFFERSON,18,11/12/2019,Village of Clayton,"44.242977, -76.088364",Heavy wave action damaged 300 FT of attenuating dock.,"$300,000.00","$150,000",,,,,,,
JEFFERSON,19,11/12/2019,Village of Clayton,Riverside Drive at E. Union St. Pump Station,Village Sewer collection system was unable to handle high flows and was discharging untreated waste into the St. Lawrence River. It was neccesary to bring in a private pumping company to reduce sewage flows into the River.,"$8,850.00","$8,850",,,,,,,
JEFFERSON,,11/14/2019,Jefferson County Highway,"County Rt 59 44.049850, -76.097966 to 44.006938, -76.055028","Havy wave action on Lake Ontario caused shorline damage, shoulder washouts, rip rap and stone armoring displacement along with Debris deposits on County Rt 59.","$150,000","$150,000",,,,,,,
JEFFERSON,,11/14/2019,Jefferson County Highway,"County Rt 125 44.063515, -76.125208 to 44.062875, -76.125141","Heavy wave action on Lake Ontario caused shoreline damage, shoulder washouts, rip rap and stone armoring displacement along with Debris deposits on County Rt 125. ","$200,000","$200,000",,,,,,,
JEFFERSON,,11/14/2019,Jefferson County Highway,"County Rt 6 44.124392, -76.346166 to 44.101423, -76.370321","Heavy wave action on Lake Ontario caused shoreline damage, shoulder washouts, rip rap and stone armoring displacement along with Debris deposits on County Rt 6. ","$50,000","$50,000",,,,,,,
JEFFERSON,,11/14/2019,Jefferson County Highway,"County Rt 57 44.076350, -76.237670 to 44.007551, -76.216841","Heavy wave action on Lake Ontario caused shoreline damage, shoulder erosion, washouts, debris deposits, along with rip rap and rock armoring displacement on County Rt 57.","$150,000","$150,000",,,,,,,
LEWIS,1,11/12/2019,Lewis County Highway,"West Road
43.606880, -75.420638","During the Oct 31st storm a branch of the White River, a classified trout stream, flooded and deposited large amounts of shale and woody debris at  within a box culvert on West Road where the road the  river.  This road is  a Lewis County maintained road.  The Shale is blocking approximately 50% of the culvert flow and the woody Debris ended up downstream of the culvert, blocking stream flow.  Approximately 50 feet of the stream bank,  upstream of the culvert was scoured.","$3,400","$3,400",,,,,,,
LEWIS,2,11/12/2019,Lewis County Highway,"Golden Road
43.482417, -75.428921","The Oct 31 flood undermined the 36"" by 60 foot culvert conveying water from one side of the road to the other, causing Lewis County to close the road to traffic until they were able to replace the culvert.","$13,168","$13,168",,,,,,,
LEWIS,3,11/12/2019,Town of Leyden,"Isnicker Road
43.515690,- 75.409279
",Road Scour of 600 feet x 14 feet x 2 feet deep and replacement of a 3' x 60 foot culvert.  The Applicant did not take pictures of this damage and when the DHSES team arrived for State PDA the road was site was snow covered.,"$12,176","$12,176",,,,,,,
LEWIS,4,11/12/2019,Town of Leyden,"Zieglar Road
43.500733, -75.420637","the Oct 31 storm washed out a culvert on Zieglar Road.  This resulted in a vitual canyon of 30 feet wide, 2o feet deep and 120 feet long.  This culvert has not yet been replaced but is critical to the snowmobile tourism industry of the area.","$61,808","$61,808",,,,,,,
LEWIS,5,11/12/2019,Town of Turin,"Carpenter Road
43.670484, -75.439234","A steep portion of Carpenter Road was washed out for approximately 300 feet. A significant amount of the  sand and gravel from the washout was deposited in a farmers  field at the bottom of the hill.  The Applicant had not captured pictures of the site prior to the PDA, and when the State PDA was accomplished, pictures were taken, but the site was snow covered.  
","$10,051","$10,051",,,,,,,
LEWIS,6,11/12/2019,Town of West Turin,"Plumber Road
43.583021, -75.461117","The Oct 31 storm washed out a 36"" x 60 foot culvert causing the town to replace the culvert and repair approximately 30 feet of shoulder scour.  This damage was part of the overall town estimate of $24,847 to repair four culverts and repair shoulders on five roads throughout the town. This is 11/22/19 update from the original State PDA report and the Joint State/FEMA PDA  This culvert replacement cost the Town $16,303.67. In the Joint State/FEMA PDA this culvert repair was reported as a combined cost with other work the town accomplished on shoulders and Herman Bush Road. ","$4,000","$4,000",,,,,,,
LEWIS,,,Town of Pinckney,"Pinckney Road
43.871302, -75.784717",Town of Pinckney had tree removal damage - 30 trees and a culvert wash out because of debris plugging a large one washing road out.,,"$17,602",,,,,,,
LEWIS,,,Town of West Turin,,Various road and culverts damage. ***The applicant provided a list of additional sites that were not captured on the list provided by the grantee***,,"$20,847",,,,,,,
LEWIS,,,Town of West Turin,"Herman Bush Rd
43.563639, -75.473344
","This was a 6 foot x 40 foot culvert that was blown out by the flooding.  The culver is a two section pipe and was severly bend and damaged but he flood.  As an emergeny measure to reopen the road, the Town of West Turin set the damaged pipe as temporary measures with the intent to do pemanent repairs with a new pipe in the spring.  the estimated amount of the temporary repairs was reported in the Joint State/FEMA PDA as a joint total with Plumber road.  On the 11/22/19 Gough Visit the Highway Superintendent Doug Salmon is reporting the following: 
Temporary repair to reopen the road by resetting the damaged culvert -    $7,271.50
Permenant repair by replacing the culvert with a new pipe in the spring - $21,517.10","$28,789",,,,,,,,
LEWIS,,,Town of West Turin,"Moore Rd 43.630832, -75.495890",The Town repaired wash outs on hills on all four roads and graded only as temporary work.  The town still needs to replace gravel that washed away.  GPS coordinates indicate the center of the road. ,$805,,,,,,,,
LEWIS,,,Town of West Turin,"Crofoot Hill Rd
43.583579, -75.463378",The town permanently repaired the shoulders on these roads.  GPS coordinates indicate the center of the road. ,"$3,071",,,,,,,,
LEWIS,,,Town of West Turin,Town Wide Debris,After the storm the Town cut trees within the road ways and pushed asside trees onto the side of the roadway.  The town still needs to clean up the debris along the roads ,"$1,920",,,,,,,,
LEWIS,,,Town of Leyden,"Thayer Hill Road
43.497018, -75.398189",UPDATE:  This road was visited on 11/22/19 and pictures were captured of the Culvert repair.  shoulder scour and road washout had been fixed and due to snow cover it wasn't obvious where these repairs had been accomplished.  This cost and the following cost were noted in the FEMA PDA report but at the time of the joint PDA this cost was not included in the final PDA number,"$9,000",,,,,,,,
LEWIS,,,Town of Leyden,"Gulf Road
entrance to road
43.501085, -75.392819","Shoulder scour and road washout.  This road ia a seasonal road that was closed and the damages were accessable via standard suv.  The cost that the Leyden highway superintendent indicated he spent on this road was $3,000.   A picture was captured of the entrance to Glf road","$3,000",,,,,,,,
LEWIS,,,Town of Pinckey,"Pinckney Road
43.871302, -75.784717","Town of Pinckney had tree removal damage of 30 trees and a washed out culvert on Pinckney Road due to debris plugging this 4 foot culvert.  On 11/22/19 photos were taken of the replaced culvert.  One 4 foot culvert was replaced an an added 3 foot upper culvert was added as overflow. The Pinckney Highway Superintendent idicated that the DEC in their area are comfortable with double culverts, one higher than the other.  -- During the Joint  FEMA / State PDA, FEMA Noted these costs, but did not include the cost in their bottom-line PDA total cost","$17,602",,,,,,,,
MADISON,,11/12/2019,Town of Madison                          ,"Abbert Rd
42.853297, -75.46571 to 42.8491925, -75.463659                         ",Significant erosion drainage ditches overtopping and washing out the road and culverts.   The westerly end of the road suffered significant loss of the road for a distance of 330 feet and approximately 30 feet wide with the road and shoulder area.  The westerly culvert pipe is 40 feet long and 4 feet in diameter.  It suffered washouts at each end and appears to have failed at the 20 collar.  Needing replacement. Also in the section is a loss of shoulder. 180 feet long X 5 feet wide X 4 feet deep.   Two other culverts also were significantly overwhelmed creating road and shoulder washouts. One was road washout 192 feet long X 10 feet wide X 4 feet deep.  The most easterly culvert failure created a shoulder washout of 60 feet long X 4 feet deep X 3 feet wide. Additionally the road was buried in 3 feet of gravel for a section 60 feet long X 20 feet wide X 3 feet deep.,"$200,000 ","$200,000",,,,,,,
